student_id,age,gender,study_hours,exam_score,group,satisfaction,gpa
1,22,Female,15,78,Control,4,3.2
2,24,Male,20,85,Treatment,5,3.6
3,21,Female,12,72,Control,3,2.9
4,23,Male,18,82,Treatment,4,3.4
5,25,Female,22,88,Treatment,5,3.8
6,22,Male,10,68,Control,3,2.7
7,24,Female,16,80,Treatment,4,3.5
8,21,Male,14,75,Control,4,3.1
9,23,Female,19,84,Treatment,5,3.7
10,22,Male,11,70,Control,3,2.8
11,25,Female,21,87,Treatment,5,3.9
12,24,Male,17,81,Treatment,4,3.6
13,21,Female,13,74,Control,3,3.0
14,23,Male,20,86,Treatment,5,3.8
15,22,Female,15,77,Control,4,3.2
16,24,Male,19,83,Treatment,4,3.5
17,25,Female,23,90,Treatment,5,4.0
18,21,Male,12,71,Control,3,2.9
19,23,Female,18,82,Treatment,4,3.6
20,22,Male,14,76,Control,4,3.1
21,24,Female,20,85,Treatment,5,3.7
22,25,Male,22,88,Treatment,5,3.9
23,21,Female,11,69,Control,2,2.7
24,23,Male,17,80,Treatment,4,3.4
25,22,Female,16,79,Control,4,3.3
26,24,Male,21,86,Treatment,5,3.8
27,25,Female,24,91,Treatment,5,4.0
28,21,Male,13,73,Control,3,3.0
29,23,Female,19,84,Treatment,5,3.7
30,22,Male,15,78,Control,4,3.2
31,24,Female,20,85,Treatment,5,3.6
32,25,Male,23,89,Treatment,5,3.9
33,21,Female,12,72,Control,3,2.9
34,23,Male,18,82,Treatment,4,3.5
35,22,Female,16,79,Control,4,3.3
36,24,Male,21,87,Treatment,5,3.8
37,25,Female,25,92,Treatment,5,4.0
38,21,Male,11,70,Control,3,2.8
39,23,Female,19,83,Treatment,4,3.6
40,22,Male,14,75,Control,3,3.1
41,24,Female,20,86,Treatment,5,3.7
42,25,Male,22,88,Treatment,5,3.9
43,21,Female,13,74,Control,3,3.0
44,23,Male,18,81,Treatment,4,3.5
45,22,Female,15,77,Control,4,3.2
46,24,Male,20,85,Treatment,5,3.7
47,25,Female,24,90,Treatment,5,4.0
48,21,Male,12,71,Control,3,2.9
49,23,Female,19,84,Treatment,5,3.6
50,22,Male,16,78,Control,4,3.3
